Home,Nbhd,Offers,SqFt,Brick,Bedrooms,Bathrooms,Price
1,2,2,1790,No,2,2,114300
2,2,3,2030,No,4,2,114200
3,2,1,1740,No,3,2,114800
4,2,3,1980,No,3,2,94700
5,2,3,2130,No,3,3,119800
6,1,2,1780,No,3,2,114600
7,3,3,1830,Yes,3,3,151600
8,3,2,2160,No,4,2,150700
9,2,3,2110,No,4,2,119200
10,2,3,1730,No,3,3,104000
11,2,3,2030,Yes,3,2,132500
12,2,2,1870,Yes,2,2,123000
13,1,4,1910,No,3,2,102600
14,1,5,2150,Yes,3,3,126300
15,3,4,2590,No,4,3,176800
16,3,1,1780,No,4,2,145800
17,2,4,2190,Yes,3,3,147100
18,1,4,1990,No,3,3,83600
19,2,1,1700,Yes,2,2,111400
20,3,2,1920,Yes,3,3,167200
21,2,3,1790,No,3,2,116200
22,1,4,2000,No,3,2,113800
23,1,3,1690,No,3,2,91700
24,1,3,1820,Yes,3,2,106100
25,2,2,2210,Yes,4,3,156400
26,1,3,2290,No,4,3,149300
27,3,3,2000,No,4,2,137000
28,2,2,1700,No,3,2,99300
29,1,3,1600,No,2,2,69100
30,3,1,2040,Yes,4,3,188000
31,3,3,2250,Yes,4,3,182000
32,1,2,1930,Yes,2,2,112300
33,2,3,2250,Yes,3,3,135000
34,2,4,2280,Yes,5,3,139600
35,1,3,2000,No,2,2,117800
36,1,3,2080,No,3,3,117100
37,1,2,1880,No,2,2,117500
38,3,4,2420,No,4,3,147000
39,3,1,1720,No,3,2,131300
40,1,2,1740,No,3,2,108200
41,2,1,1560,No,2,2,106600
42,3,2,1840,No,4,3,133600
43,2,3,1990,No,2,2,105600
44,2,1,1920,Yes,3,2,154000
45,3,2,1940,Yes,3,3,166500
46,2,3,1810,No,3,2,103200
47,1,2,1990,No,2,3,129800
48,1,6,2050,No,3,2,90300
49,2,2,1980,No,2,2,115900
50,1,3,1700,Yes,3,2,107500
51,2,3,2100,Yes,3,2,151100
52,1,3,1860,No,2,2,91100
53,1,4,2150,No,2,3,117400
54,1,3,2100,No,3,2,130800
55,1,3,1650,No,3,2,81300
56,2,2,1720,Yes,2,2,125700
57,2,3,2190,Yes,3,2,140900
58,3,3,2240,No,4,3,152300
59,3,1,1840,No,3,3,138100
60,3,1,2090,No,4,2,155400
61,3,1,2200,No,3,3,180900
62,1,2,1610,No,2,2,100900
63,3,2,2220,No,4,3,161300
64,2,2,1910,No,2,3,120500
65,3,2,1860,No,3,2,130300
66,1,1,1450,Yes,2,2,111100
67,1,4,2210,No,3,3,126200
68,2,3,2040,No,4,3,151900
69,1,4,2140,No,3,2,93600
70,3,3,2080,No,4,3,165600
71,3,3,1950,Yes,3,3,166700
72,3,1,2160,No,4,2,157600
73,1,3,1650,No,3,2,107300
74,2,2,2040,No,3,3,125700
75,3,3,2140,No,3,3,144200
76,1,2,1900,No,2,2,106900
77,3,2,1930,No,3,2,129800
78,3,3,2280,Yes,4,3,176500
79,1,3,2130,No,3,2,121300
80,3,1,1780,No,4,2,143600
81,2,4,2190,Yes,3,3,143400
82,3,2,2140,Yes,4,3,184300
83,3,1,2050,Yes,2,2,164800
84,2,2,2410,No,3,3,147700
85,1,3,1520,No,2,2,90500
86,3,2,2250,Yes,4,3,188300
87,1,4,1900,No,4,2,102700
88,3,1,1880,Yes,3,3,172500
89,1,2,1930,No,3,3,127700
90,1,4,2010,No,2,2,97800
91,3,2,1920,No,4,2,143100
92,2,2,2150,No,3,2,116500
93,3,2,2110,No,3,2,142600
94,2,2,2080,No,3,3,157100
95,3,3,2150,Yes,4,3,160600
96,3,1,1970,Yes,2,2,152500
97,2,3,2440,No,3,3,133300
98,2,1,2000,Yes,2,2,126800
99,3,1,2060,No,3,2,145500
100,3,2,2080,Yes,3,3,171000
101,1,5,2010,No,3,2,103200
102,2,5,2260,No,3,3,123100
103,2,4,2410,No,3,3,136800
104,3,3,2440,Yes,4,3,211200
105,2,4,1910,No,3,2,82300
106,3,4,2530,No,4,3,146900
107,1,4,2130,No,3,2,108500
108,2,1,1890,Yes,3,2,134000
109,2,3,1990,Yes,3,3,117000
110,2,3,2110,No,3,2,108700
111,1,1,1710,No,2,2,111600
112,1,2,1740,No,2,2,114900
113,2,2,1940,Yes,2,2,123600
114,1,3,2000,Yes,3,2,115700
115,2,2,2010,No,4,3,124500
116,1,3,1900,No,3,3,102500
117,3,1,2290,Yes,5,4,199500
118,1,2,1920,No,3,2,117800
119,1,3,1950,Yes,3,2,150200
120,1,4,1920,No,2,2,109700
121,1,3,1930,No,2,3,110400
122,2,3,1930,No,3,3,105600
123,2,1,2060,Yes,2,2,144800
124,2,3,1900,Yes,3,3,119700
125,2,3,2160,Yes,4,3,147900
126,1,2,2070,No,2,2,113500
127,3,1,2020,No,3,3,149900
128,1,4,2250,No,3,3,124600
