STATE_OR_REGION,1910_POPULATION,1920_POPULATION,1930_POPULATION,1940_POPULATION,1950_POPULATION,1960_POPULATION,1970_POPULATION,1980_POPULATION,1990_POPULATION,2000_POPULATION,2010_POPULATION
United States,92228531,106021568,123202660,132165129,151325798,179323175,203211926,226545805,248709873,281421906,308745538
Alabama,2138093,2348174,2646248,2832961,3061743,3266740,3444165,3893888,4040587,4447100,4779736
Alaska,64356,55036,59278,72524,128643,226167,300382,401851,550043,626932,710231
Arizona,204354,334162,435573,499261,749587,1302161,1770900,2718215,3665228,5130632,6392017
Arkansas,1574449,1752204,1854482,1949387,1909511,1786272,1923295,2286435,2350725,2673400,2915918
California,2377549,3426861,5677251,6907387,10586223,15717204,19953134,23667902,29760021,33871648,37253956
Colorado,799024,939629,1035791,1123296,1325089,1753947,2207259,2889964,3294394,4301261,5029196
Connecticut,1114756,1380631,1606903,1709242,2007280,2535234,3031709,3107576,3287116,3405565,3574097
Delaware,202322,223003,238380,266505,318085,446292,548104,594338,666168,783600,897934
District of Columbia,331069,437571,486869,663091,802178,763956,756510,638333,606900,572059,601723
Florida,752619,968470,1468211,1897414,2771305,4951560,6789443,9746324,12937926,15982378,18801310
Georgia,2609121,2895832,2908506,3123723,3444578,3943116,4589575,5463105,6478216,8186453,9687653
Hawaii,191909,255912,368336,423330,499794,632772,768561,964691,1108229,1211537,1360301
Idaho,325594,431866,445032,524873,588637,667191,712567,943935,1006749,1293953,1567582
Illinois,5638591,6485280,7630654,7897241,8712176,10081158,11113976,11426518,11430602,12419293,12830632
Indiana,2700876,2930390,3238503,3427796,3934224,4662498,5193669,5490224,5544159,6080485,6483802
Iowa,2224771,2404021,2470939,2538268,2621073,2757537,2824376,2913808,2776755,2926324,3046355
Kansas,1690949,1769257,1880999,1801028,1905299,2178611,2246578,2363679,2477574,2688418,2853118
Kentucky,2289905,2416630,2614589,2845627,2944806,3038156,3218706,3660777,3685296,4041769,4339367
Louisiana,1656388,1798509,2101593,2363880,2683516,3257022,3641306,4205900,4219973,4468976,4533372
Maine,742371,768014,797423,847226,913774,969265,992048,1124660,1227928,1274923,1328361
Maryland,1295346,1449661,1631526,1821244,2343001,3100689,3922399,4216975,4781468,5296486,5773552
Massachusetts,3366416,3852356,4249614,4316721,4690514,5148578,5689170,5737037,6016425,6349097,6547629
Michigan,2810173,3668412,4842325,5256106,6371766,7823194,8875083,9262078,9295297,9938444,9883640
Minnesota,2075708,2387125,2563953,2792300,2982483,3413864,3804971,4075970,4375099,4919479,5303925
Mississippi,1797114,1790618,2009821,2183796,2178914,2178141,2216912,2520638,2573216,2844658,2967297
Missouri,3293335,3404055,3629367,3784664,3954653,4319813,4676501,4916686,5117073,5595211,5988927
Montana,376053,548889,537606,559456,591024,674767,694409,786690,799065,902195,989415
Nebraska,1192214,1296372,1377963,1315834,1325510,1411330,1483493,1569825,1578385,1711263,1826341
Nevada,81875,77407,91058,110247,160083,285278,488738,800493,1201833,1998257,2700551
New Hampshire,430572,443083,465293,491524,533242,606921,737681,920610,1109252,1235786,1316470
New Jersey,2537167,3155900,4041334,4160165,4835329,6066782,7168164,7364823,7730188,8414350,8791894
New Mexico,327301,360350,423317,531818,681187,951023,1016000,1302894,1515069,1819046,2059179
New York,9113614,10385227,12588066,13479142,14830192,16782304,18236967,17558072,17990455,18976457,19378102
North Carolina,2206287,2559123,3170276,3571623,4061929,4556155,5082059,5881766,6628637,8049313,9535483
North Dakota,577056,646872,680845,641935,619636,632446,617761,652717,638800,642200,672591
Ohio,4767121,5759394,6646697,6907612,7946627,9706397,10652017,10797630,10847115,11353140,11536504
Oklahoma,1657155,2028283,2396040,2336434,2233351,2328284,2559229,3025290,3145585,3450654,3751351
Oregon,672765,783389,953786,1089684,1521341,1768687,2091385,2633105,2842321,3421399,3831074
Pennsylvania,7665111,8720017,9631350,9900180,10498012,11319366,11793909,11863895,11881643,12281054,12702379
Rhode Island,542610,604397,687497,713346,791896,859488,946725,947154,1003464,1048319,1052567
South Carolina,1515400,1683724,1738765,1899804,2117027,2382594,2590516,3121820,3486703,4012012,4625364
South Dakota,583888,636547,692849,642961,652740,680514,665507,690768,696004,754844,814180
Tennessee,2184789,2337885,2616556,2915841,3291718,3567089,3923687,4591120,4877185,5689283,6346105
Texas,3896542,4663228,5824715,6414824,7711194,9579677,11196730,14229191,16986510,20851820,25145561
Utah,373351,449396,507847,550310,688862,890627,1059273,1461037,1722850,2233169,2763885
Vermont,355956,352428,359611,359231,377747,389881,444330,511456,562758,608827,625741
Virginia,2061612,2309187,2421851,2677773,3318680,3966949,4648494,5346818,6187358,7078515,8001024
Washington,1141990,1356621,1563396,1736191,2378963,2853214,3409169,4132156,4866692,5894121,6724540
West Virginia,1221119,1463701,1729205,1901974,2005552,1860421,1744237,1949644,1793477,1808344,1852994
Wisconsin,2333860,2632067,2939006,3137587,3434575,3951777,4417731,4705767,4891769,5363675,5686986
Wyoming,145965,194402,225565,250742,290529,330066,332416,469557,453588,493782,563626
Puerto Rico,1118012,1299809,1543913,1869255,2210703,2349544,2712033,3196520,3522037,3808610,3725789
